order_id,o_status,amount,lead_id,oppo_id,quotes_id
574214445,Order created,30460,6118465886,7836200906,2556158441
3790883964,Order created,34685,586873686,973155574,5889746154
4126489371,Order created,48530,6587506984,7262632310,3504772409
3627903781,Order created,45901,745701272,2181772975,3347408330
6148572850,Order created,21498,9419332608,3884292544,1840199865
5110261652,Order created,38740,5283144690,3575530769,4029001467
5730103476,Order created,20820,2940921466,7722173632,2192373147
7428820677,Order created,12317,3674604922,1570895007,8921179909
7035900144,Order created,46564,5837231854,2082055604,8230259879
7463510956,Order created,16408,1755903685,5855775860,9552508584
790538687,Order created,31449,1516345452,9669095158,9047909917
4430427143,Order created,20145,3928429809,1905925697,7833015741
684286823,Order created,48568,2878059603,1064708374,9034033473
7851597579,Order created,13614,2913959539,6537551161,8108029384
,,,,,
,,,,,
3673207261,Order created,37077,8789005309,115173609,8473142705
5981201630,Order created,13289,2310446335,9196035196,5645488407
3809398543,Order created,44667,5318672493,55833993,5755592055
2843364965,Order created,49852,8625623085,2197652133,3398450156
,,,,,
8652428093,Order created,11798,2925280544,5666169718,8673543479
7018330718,Order created,19180,6010179475,2805372670,1513800205
,,,,,
937504386,Order created,40612,1304787826,6206783294,6611531092
977795411,Order created,27677,433742313,2467526836,8882299465
7435531979,Order created,49361,3210784221,11730927,8341979845
,,,,,
,,,,,
184409640,Order created,22091,2596938553,231308132,1566392233
5735486551,Order created,32226,7552495138,7577315990,8786027255
8771253130,Order created,43916,7790677438,4343794040,4076919327
8880445936,Order created,16719,4425766121,7939049070,503776599
5702991087,Order created,16618,8674493092,4349206191,1958107808
6977336838,Order created,36205,7005193237,1926572335,2270462858
1261940571,Order created,27591,7665665608,4413962028,8082147385
3694441638,Order created,28289,7457767061,1035415879,3136436822
,,,,,
6276402877,Order created,39993,6357187445,270192093,5550992841
3574723342,Order created,36435,2845501730,1413535941,9258079396
3229836154,Order created,21513,9239973524,5782446374,8341317605
5255801283,Order created,31447,898174864,3309565386,6283098851
595829937,Order created,43220,8508710046,176313052,2238973869
7739087572,Order created,22214,6261799970,5756071741,5472002044
2094129160,Order created,37423,6397214540,8351905720,5559847577
1386044156,Order created,35328,7761258341,7347463106,5562823454
9429267965,Order created,44760,6898194593,7667807787,9566855133
9395999128,Order created,16466,6787135599,4319494458,7472614440
834562790,Order created,21893,6363571243,3345715201,4913538187
7506442140,Order created,22739,8151600241,631047204,4510404107
1218124180,Order created,34940,4906659780,5467421697,6888973255
4419344016,Order created,38612,5359028750,6715970343,8489946620
7217110343,Order created,18126,570275539,6865659457,1852039892
4088269284,Order created,15249,2728742332,9080101699,5149311502
2549568052,Order created,17307,6410489331,8944946574,4453389957
3716501158,Order created,18931,6745242788,5528211921,3779865211
1061131998,Order created,40583,4905745195,2305586760,5716021646
,,,,,
8389963868,Order created,43313,1651975574,701454806,9308646493
2571382,Order created,24183,6007008185,6232410203,1519583443
8457745123,Order created,29750,3405573696,8762564978,7778890585
,,,,,
9497352379,Order created,24421,27545555,606209824,381089576
8615618291,Order created,35076,7172655621,2842927605,4188147377
3032534089,Order created,26676,883271222,5977378971,4590865718
,,,,,
4729751604,Order created,25290,7016510530,875701965,4519291151
,,,,,
,,,,,
2571234374,Order created,11155,7116523391,7577022640,7019128874
3635437832,Order created,40382,7948357858,7790208675,5490343842
3907035720,Order created,11870,3323949641,7338320586,8016278531
,,,,,
8787513900,Order created,41625,9111066784,2676471392,118620584
,,,,,
7585415826,Order created,46548,8620530259,2783460912,2245460316
2489893165,Order created,14288,4944878036,4965912799,5252371431
,,,,,
5906294317,Order created,45942,9061648963,9067079545,1711111406
,,,,,
8399489549,Order created,19855,6650904066,4143289776,8609984974
,,,,,
6109738425,Order created,24594,3857542810,6313144805,19679432
8359238367,Order created,14843,7204976592,8729338611,853206988
2074975856,Order created,24607,4916108183,2794540041,6994199037
,,,,,
,,,,,
8413531179,Order created,27171,1537374109,8353874970,4558288891
,,,,,
,,,,,
5083859858,Order created,13855,268037434,6798321224,8199322780
5213589987,Order created,25862,1988897467,5124134135,1271698382
9891868478,Order created,28476,1261772288,456908080,3634277998
6591385959,Order created,31766,9611067615,3541279141,2140647017
6551525954,Order created,24483,76258769,1368789420,5384491221
,,,,,
9386002272,Order created,44674,6542143386,384535658,4887742045
146151631,Order created,41791,3182656430,1010922114,3110808196
1613069413,Order created,13460,6356410310,5086021820,9306949960
,,,,,
4250374394,Order created,10268,3765771228,2259808441,7177266089
5403073485,Order created,34464,2817181743,9774870123,2877110222
4919006969,Order created,29785,9766755493,5917650411,8087419103
,,,,,
9367379811,Order created,23369,9381401829,849530121,87518805
,,,,,
2173476726,Order created,10301,6347295776,6549159113,3215219921
1555069959,Order created,16619,7045082096,8601870449,858090724
,,,,,
7501549125,Order created,48994,7373705618,3056363691,2667379365
6992864394,Order created,30246,9423044662,4416382987,1164225332
8453723168,Order created,32497,4935234369,9092343110,5141795578
7056067115,Order created,30183,7578494473,7546517079,5386779664
9384949000,Order created,31614,3398572375,3109966794,8639817634
7983393865,Order created,46518,8111279604,3852591236,1646929330
2526407400,Order created,38230,4050035200,604341776,1270440020
,,,,,
7661891328,Order created,41199,1528505913,113802730,3531875280
6612384344,Order created,13371,1172572674,7149736122,1268516074
,,,,,
8026114396,Order created,23920,4712037202,3563697833,4746175721
4421649341,Order created,37127,2197035169,9818570464,7940935240
1635899362,Order created,11479,6374341740,1230981497,1130966631
,,,,,
4222243256,Order created,18999,8499216528,3752200146,4213578399
910852928,Order created,49356,8933150390,9973782151,7523964893
,,,,,
9386840952,Order created,12746,3921037980,7870063967,6784083490
8427263422,Order created,19957,345847547,4391718588,5995844377
,,,,,
,,,,,
9389998050,Order created,13754,660357194,3171659085,5561110225
,,,,,
6302436966,Order created,12116,8081800778,7358052897,911778179
8795649816,Order created,29849,3663332675,46268006,1202866689
8984592471,Order created,44089,9639114014,439873118,210208333
,,,,,
6246690203,Order created,32066,4254477422,76222772,9029051353
3630545955,Order created,13307,3448599611,4271662127,2651934534
3384786408,Order created,34837,8693550322,5037819628,9168171161
839212356,Order created,38299,5393744986,5021714546,1071341901
5288206708,Order created,48237,7093279937,3654914357,9395000333
105408611,Order created,29299,2221161181,5938168996,6413175818
1027075657,Order created,38698,9500041391,9628703420,2954531452
1437415237,Order created,18994,3659796832,1566625459,4608648861
3549237367,Order created,34228,3094915825,8681601849,3756550524
783417837,Order created,17048,508939887,421094052,7052380374
1903836557,Order created,38829,4079873433,1772403350,2776189044
8161067341,Order created,46967,4966550513,9214025452,5745046635
9358000708,Order created,48991,2919409492,6683267561,7568541460
4512917322,Order created,36373,4434322842,9425742928,9898953845
1625394209,Order created,32890,9584530941,3339761671,7471624833
6226620013,Order created,37860,5623329888,1816542164,8768990650
8737432427,Order created,19336,172554802,3702046011,7727680508
9048958687,Order created,28235,5352755150,180636847,7542455559
4773911913,Order created,11426,2454805391,4953145577,8751657279
5433219631,Order created,16280,4607753068,9424983409,5479454447
8648996600,Order created,44408,2709538814,8302526584,861926161
5694543084,Order created,42892,1350900540,9248065031,1223417751
787589802,Order created,41033,7787808152,1508738092,2633402232
2182053875,Order created,42325,8275224446,4727539462,3890240550
9488483911,Order created,23018,2072863929,8223495589,7746797989
7891848149,Order created,29973,544071433,670287644,5051491820
1678875112,Order created,39174,913473375,8531262143,4456190175
6023864791,Order created,10496,2572902079,7936100393,9525036340
9319869634,Order created,40848,9548829770,7128295763,4882197936
829453636,Order created,30081,6115188016,3518004069,5011650073
,,,,,
7513546746,Order created,39843,8479014725,7330997692,5583585226
2816340473,Order created,34849,6346296264,6998844433,5928787820
1214830935,Order created,25668,9915602480,3889970648,6458541597
4066391079,Order created,48490,8908120548,5866756668,9472037267
2356168672,Order created,16527,1774770857,5848844062,9704913826
9267155474,Order created,19476,1501137166,6179116121,7204370953
8435533778,Order created,27720,9874361263,8951868109,2786202507
3616498880,Order created,26203,2496800053,4454625395,5520359520
3264227177,Order created,41981,35512679,7292678572,4112465068
5338690195,Order created,40975,1695993047,2228534471,7114158556
7577748684,Order created,27387,8276584918,4703478927,7523090141
9460777201,Order created,30477,8524986581,9723698242,6616890414
7627660459,Order created,16727,2474116052,8406900571,7202353482
1828418234,Order created,22294,6574720680,7558238986,4048305220
2864983931,Order created,12962,1771619414,2070795985,311824013
6528180318,Order created,14291,5583373,3733546067,683452711
5637883939,Order created,15166,2367139288,8348891951,1054428395
918102065,Order created,34877,3278280644,7033670087,9176020940
2610174179,Order created,17037,4893260987,2347487477,681920084
4285045907,Order created,19885,1497597226,2775627803,9207491273
5447657296,Order created,32267,1393923399,8198880038,4541385015
3384108035,Order created,47224,9748591530,3426409321,8469781774
256414599,Order created,26778,9496487025,2530122253,5666661760
5048420330,Order created,13057,2877422852,6801766716,7130870982
9602525800,Order created,14793,1873132328,4680055480,4473023435
8780019307,Order created,23418,4692447591,3688945719,9030632569
9187080079,Order created,49856,2856420141,6692837162,2434844960
7599428151,Order created,18308,2741921997,4097168258,5854869748
8820932946,Order created,15466,7120689177,9855915291,7411169943
4454582718,Order created,37006,556607678,1555360831,3415048845
4048058711,Order created,22547,7894545511,8509340579,7804981562
9158162941,Order created,13566,2864621215,1032303522,79145353
680206493,Order created,16945,481137645,5975169283,905968255
5036917251,Order created,37785,8247582023,3061649239,6305057311
6849261118,Order created,16353,3741075086,8390931370,9600873518
4903047199,Order created,19916,6595007045,412571528,7737097392
394357485,Order created,47796,6288734713,8940642929,1945608714
3042276171,Order created,13181,9529608047,9141704487,1083771906
7607345914,Order created,27838,4409950614,6471892241,1827807547
9164587118,Order created,24195,3381769170,6708309289,1856931080
9752248136,Order created,48647,3401745786,56114591,396108822
1964582687,Order created,14643,8920056757,4080954433,5660208290
3123221857,Order created,17870,4115102837,9851170879,1375549154
487070895,Order created,21723,2951305397,573436673,7473504835
790362813,Order created,22652,2704264570,5024627911,9725880676
,,,,,
