order_no,delivery_means,delivery_by,amount,order_status,ordered_category,ordered_from,reasonForCancellation
187930457,Cycle,F,340,Cancelled,North Indian,Mobile App,Ordered mistaken
4053476070,Bike,M,112,Cancelled,North Indian,Mobile App,Ordered mistaken
1876372001,Cycle,F,397,Cancelled,Susi,Mobile App,Ordered mistaken
6234758851,Cycle,F,141,Cancelled,North Indian,Online Portal,Ordered mistaken
1361743492,Bike,F,706,Cancelled,Susi,Online Portal,Packaging not Proper
9162633600,Cycle,F,950,Cancelled,Susi,Online Portal,Damaged
7322062132,Bike,M,921,Cancelled,Susi,Online Portal,Damaged
2967593451,Cycle,M,870,Cancelled,Seafood,Mobile App,Damaged
3821690089,Walk,M,336,Cancelled,Seafood,Online Portal,Ordered mistaken
2998445330,Cycle,F,860,Cancelled,North Indian,Online Portal,Ordered mistaken
3944630890,Cycle,M,609,Cancelled,Seafood,Online Portal,Ordered mistaken
6942743127,Walk,F,491,Cancelled,Seafood,Mobile App,Packaging not Proper
897638395,Bike,F,159,Cancelled,Continental,Mobile App,Ordered mistaken
4405308446,Walk,F,833,Cancelled,Continental,Online Portal,Damaged
6383512129,Walk,F,272,Cancelled,Seafood,Mobile App,Ordered mistaken
8353815974,Walk,F,687,Cancelled,Susi,Mobile App,Packaging not Proper
6476248022,Walk,F,825,Cancelled,Susi,Online Portal,Damaged
805878270,Walk,F,909,Cancelled,Susi,Online Portal,Damaged
9890308703,Cycle,M,742,Cancelled,South Indian,Mobile App,Damaged
778395804,Cycle,M,599,Cancelled,Susi,Mobile App,Ordered mistaken
1912018152,Bike,M,477,Cancelled,Susi,Online Portal,Ordered mistaken
8338137421,Walk,F,614,Cancelled,Continental,Online Portal,Ordered mistaken
9673848114,Walk,F,926,Cancelled,North Indian,Online Portal,Ordered mistaken
8438563562,Bike,M,871,Cancelled,South Indian,Mobile App,Ordered mistaken
5829551861,Walk,F,535,Cancelled,Susi,Mobile App,Packaging not Proper
7659938622,Walk,M,245,Cancelled,Continental,Online Portal,Damaged
8622268128,Bike,F,543,Cancelled,Continental,Mobile App,Ordered mistaken
4350088520,Walk,F,574,Cancelled,Susi,Online Portal,Damaged
5640739142,Walk,F,314,Cancelled,Susi,Mobile App,Ordered mistaken
3880287031,Walk,M,265,Cancelled,Susi,Online Portal,Packaging not Proper
6698159999,Bike,M,279,Cancelled,Continental,Mobile App,Packaging not Proper
9895576293,Bike,M,493,Cancelled,South Indian,Online Portal,Ordered mistaken
8001958043,Cycle,F,475,Cancelled,Seafood,Online Portal,Packaging not Proper
537380752,Walk,F,853,Cancelled,North Indian,Mobile App,Damaged
6740780382,Bike,F,410,Cancelled,North Indian,Online Portal,Ordered mistaken
9102138638,Walk,F,637,Cancelled,Continental,Online Portal,Ordered mistaken
385989431,Cycle,F,675,Cancelled,South Indian,Mobile App,Ordered mistaken
5249367763,Walk,M,266,Cancelled,Seafood,Mobile App,Ordered mistaken
9766550735,Cycle,F,400,Cancelled,Continental,Mobile App,Ordered mistaken
628799667,Cycle,F,149,Cancelled,North Indian,Mobile App,Packaging not Proper
5065855064,Bike,M,308,Cancelled,Susi,Mobile App,Ordered mistaken
8686186955,Bike,F,937,Cancelled,Susi,Mobile App,Packaging not Proper
4543183010,Cycle,F,790,Cancelled,South Indian,Online Portal,Ordered mistaken
3461761362,Cycle,M,456,Cancelled,Continental,Mobile App,Ordered mistaken
6945186814,Bike,M,390,Cancelled,Susi,Mobile App,Ordered mistaken
4634102935,Bike,M,664,Cancelled,Continental,Online Portal,Ordered mistaken
2917416696,Cycle,M,873,Cancelled,Susi,Mobile App,Packaging not Proper
2220231623,Cycle,M,163,Cancelled,Susi,Online Portal,Packaging not Proper
5582527850,Cycle,F,945,Cancelled,Seafood,Mobile App,Damaged
8171313132,Bike,M,300,Cancelled,Susi,Online Portal,Damaged
679316035,Bike,F,771,Cancelled,Seafood,Mobile App,Ordered mistaken
8316861607,Cycle,M,427,Cancelled,North Indian,Mobile App,Ordered mistaken
1604644648,Walk,M,359,Cancelled,Continental,Online Portal,Packaging not Proper
7412793721,Walk,M,691,Cancelled,North Indian,Online Portal,Packaging not Proper
479907242,Bike,M,363,Cancelled,Seafood,Online Portal,Packaging not Proper
1229658149,Walk,M,571,Cancelled,Susi,Online Portal,Damaged
5617577263,Bike,M,957,Cancelled,Susi,Online Portal,Ordered mistaken
1784317853,Bike,M,677,Cancelled,North Indian,Online Portal,Damaged
7898903196,Walk,F,711,Cancelled,Susi,Online Portal,Ordered mistaken
4212109778,Walk,M,287,Cancelled,Susi,Online Portal,Ordered mistaken
9757926388,Walk,F,641,Cancelled,Continental,Online Portal,Ordered mistaken
1270489666,Walk,F,156,Cancelled,Seafood,Mobile App,Ordered mistaken
5863749113,Walk,F,781,Cancelled,South Indian,Mobile App,Ordered mistaken
4318697584,Cycle,M,623,Cancelled,North Indian,Online Portal,Ordered mistaken
4238056213,Walk,F,347,Cancelled,Seafood,Online Portal,Ordered mistaken
5667221195,Walk,M,433,Cancelled,Continental,Online Portal,Damaged
5430734470,Bike,F,875,Cancelled,Susi,Mobile App,Ordered mistaken
4608003925,Cycle,F,268,Cancelled,Seafood,Mobile App,Packaging not Proper
9647330731,Walk,M,257,Cancelled,Susi,Mobile App,Ordered mistaken
3481929498,Cycle,F,789,Cancelled,Seafood,Mobile App,Packaging not Proper
3239780119,Cycle,M,541,Cancelled,Susi,Mobile App,Packaging not Proper
863590012,Cycle,F,202,Cancelled,North Indian,Online Portal,Damaged
7689343120,Walk,F,677,Cancelled,Susi,Mobile App,Ordered mistaken
2262222150,Walk,M,759,Cancelled,Susi,Mobile App,Ordered mistaken
5780087113,Bike,M,353,Cancelled,South Indian,Online Portal,Ordered mistaken
1330421183,Cycle,F,865,Cancelled,South Indian,Online Portal,Ordered mistaken
1926787072,Bike,F,531,Cancelled,Continental,Online Portal,Ordered mistaken
9455898020,Bike,M,940,Cancelled,North Indian,Mobile App,Ordered mistaken
903433575,Walk,M,970,Cancelled,Seafood,Mobile App,Packaging not Proper
7921702600,Cycle,M,868,Cancelled,Seafood,Online Portal,Ordered mistaken
9192730558,Cycle,M,276,Cancelled,Susi,Mobile App,Ordered mistaken
4202962796,Walk,M,669,Cancelled,Continental,Online Portal,Ordered mistaken
7476773187,Bike,F,870,Cancelled,South Indian,Online Portal,Ordered mistaken
7682253762,Bike,F,101,Cancelled,Continental,Mobile App,Ordered mistaken
9234614399,Walk,F,913,Cancelled,South Indian,Mobile App,Ordered mistaken
7620057633,Bike,F,832,Cancelled,Continental,Mobile App,Ordered mistaken
6977440120,Walk,F,390,Cancelled,Seafood,Online Portal,Damaged
4381764897,Bike,F,652,Cancelled,Continental,Mobile App,Ordered mistaken
3968585399,Cycle,F,318,Cancelled,South Indian,Mobile App,Damaged
2874046973,Cycle,F,446,Cancelled,North Indian,Mobile App,Ordered mistaken
6810380701,Bike,F,685,Cancelled,North Indian,Online Portal,Packaging not Proper
7475391906,Walk,F,649,Cancelled,Continental,Online Portal,Ordered mistaken
5528588561,Cycle,F,600,Cancelled,Seafood,Mobile App,Ordered mistaken
4695177951,Cycle,M,777,Cancelled,Continental,Online Portal,Ordered mistaken
1835309976,Cycle,F,512,Cancelled,Susi,Mobile App,Damaged
4582534309,Walk,M,840,Cancelled,North Indian,Mobile App,Ordered mistaken
5109063419,Walk,F,642,Cancelled,North Indian,Online Portal,Ordered mistaken
8839058443,Walk,M,451,Cancelled,Seafood,Online Portal,Ordered mistaken
5302342332,Cycle,M,603,Cancelled,Susi,Online Portal,Damaged
9280410938,Bike,M,410,Cancelled,Continental,Mobile App,Packaging not Proper
3849439356,Cycle,M,560,Cancelled,Susi,Mobile App,Damaged
1235581535,Cycle,M,939,Cancelled,South Indian,Online Portal,Ordered mistaken
1855971631,Cycle,M,585,Cancelled,Continental,Online Portal,Packaging not Proper
5770433442,Cycle,M,234,Cancelled,South Indian,Mobile App,Ordered mistaken
9793951583,Cycle,M,849,Cancelled,North Indian,Online Portal,Ordered mistaken
6895873015,Walk,F,975,Cancelled,Susi,Online Portal,Packaging not Proper
9471776457,Cycle,M,948,Cancelled,Susi,Online Portal,Damaged
2616080303,Cycle,M,127,Cancelled,North Indian,Online Portal,Packaging not Proper
8863335052,Walk,F,937,Cancelled,South Indian,Mobile App,Ordered mistaken
954514750,Bike,F,537,Cancelled,South Indian,Mobile App,Ordered mistaken
5470308170,Bike,M,513,Cancelled,South Indian,Online Portal,Ordered mistaken
5534484381,Walk,F,986,Cancelled,Susi,Mobile App,Packaging not Proper
27180115,Cycle,M,999,Cancelled,Susi,Mobile App,Ordered mistaken
2818665140,Cycle,M,458,Cancelled,North Indian,Mobile App,Damaged
2664241540,Walk,M,103,Cancelled,South Indian,Mobile App,Damaged
4191869655,Walk,F,615,Cancelled,Seafood,Online Portal,Ordered mistaken
4742407148,Walk,F,624,Cancelled,Seafood,Mobile App,Packaging not Proper
7084946292,Bike,M,101,Cancelled,Seafood,Mobile App,Ordered mistaken
7485662589,Cycle,M,503,Cancelled,South Indian,Mobile App,Damaged
8859208688,Cycle,F,390,Cancelled,Continental,Online Portal,Ordered mistaken
2605287408,Cycle,F,972,Cancelled,Susi,Online Portal,Packaging not Proper
6417319237,Cycle,M,362,Cancelled,North Indian,Online Portal,Packaging not Proper
2674919523,Bike,M,394,Cancelled,Susi,Mobile App,Packaging not Proper
5664423722,Bike,M,388,Cancelled,Continental,Mobile App,Damaged
3127101007,Bike,F,752,Cancelled,Seafood,Mobile App,Packaging not Proper
6178285701,Walk,M,957,Cancelled,Susi,Mobile App,Packaging not Proper
1067082166,Cycle,M,841,Cancelled,South Indian,Mobile App,Damaged
5450631030,Walk,M,981,Cancelled,Continental,Online Portal,Ordered mistaken
4413583981,Walk,M,541,Cancelled,Continental,Online Portal,Ordered mistaken
3901842500,Bike,M,589,Cancelled,Seafood,Online Portal,Damaged
862904706,Bike,F,535,Cancelled,Continental,Online Portal,Packaging not Proper
5469036863,Cycle,M,671,Cancelled,Seafood,Online Portal,Damaged
4837062539,Walk,M,143,Cancelled,South Indian,Mobile App,Damaged
5182764391,Cycle,F,346,Cancelled,Susi,Online Portal,Ordered mistaken
13992678,Bike,M,560,Cancelled,South Indian,Mobile App,Damaged
8783881034,Walk,M,752,Cancelled,Susi,Online Portal,Ordered mistaken
9892708326,Cycle,M,134,Cancelled,Continental,Online Portal,Damaged
4667717718,Cycle,F,515,Cancelled,North Indian,Online Portal,Ordered mistaken
658553046,Walk,M,463,Cancelled,North Indian,Mobile App,Ordered mistaken
8821275736,Walk,M,914,Cancelled,Continental,Online Portal,Ordered mistaken
5690509728,Bike,F,755,Cancelled,Continental,Online Portal,Ordered mistaken
7230064430,Walk,M,471,Cancelled,North Indian,Mobile App,Ordered mistaken
1210050455,Bike,F,262,Cancelled,Susi,Mobile App,Packaging not Proper
3368383159,Cycle,F,960,Cancelled,Susi,Mobile App,Ordered mistaken
6529935088,Cycle,F,567,Cancelled,Susi,Online Portal,Ordered mistaken
8004397751,Walk,F,1000,Cancelled,Seafood,Online Portal,Ordered mistaken
197718213,Walk,F,757,Cancelled,North Indian,Online Portal,Ordered mistaken
2598660404,Bike,M,596,Cancelled,South Indian,Online Portal,Ordered mistaken
3552897798,Cycle,F,908,Cancelled,North Indian,Mobile App,Damaged
6808715866,Cycle,M,481,Cancelled,South Indian,Mobile App,Ordered mistaken
8063155173,Bike,F,593,Cancelled,South Indian,Mobile App,Ordered mistaken
1095348930,Bike,M,645,Cancelled,Continental,Online Portal,Ordered mistaken
440684250,Walk,M,513,Cancelled,Continental,Mobile App,Packaging not Proper
4199951156,Walk,F,111,Cancelled,Susi,Online Portal,Damaged
9004717307,Walk,M,247,Cancelled,Continental,Mobile App,Packaging not Proper
6128272649,Walk,M,128,Cancelled,Seafood,Mobile App,Ordered mistaken
4115765925,Walk,F,646,Cancelled,South Indian,Mobile App,Ordered mistaken
841620377,Walk,F,819,Cancelled,Susi,Online Portal,Packaging not Proper
4551114375,Bike,M,685,Cancelled,Susi,Mobile App,Ordered mistaken
7592053284,Bike,M,819,Cancelled,North Indian,Online Portal,Damaged
4580678648,Walk,M,357,Cancelled,South Indian,Mobile App,Damaged
6678370627,Cycle,F,702,Cancelled,Seafood,Online Portal,Packaging not Proper
2269079760,Bike,F,523,Cancelled,Continental,Mobile App,Ordered mistaken
6220156536,Walk,M,532,Cancelled,Susi,Mobile App,Damaged
4221734558,Cycle,M,307,Cancelled,North Indian,Online Portal,Damaged
5074730805,Bike,M,571,Cancelled,Susi,Online Portal,Ordered mistaken
7135992490,Walk,M,906,Cancelled,Continental,Mobile App,Ordered mistaken
4245468858,Walk,M,727,Cancelled,Susi,Mobile App,Ordered mistaken
4247966057,Cycle,M,877,Cancelled,North Indian,Online Portal,Ordered mistaken
9523597795,Walk,M,797,Cancelled,Susi,Mobile App,Packaging not Proper
6477211637,Walk,M,387,Cancelled,North Indian,Mobile App,Damaged
9846480288,Bike,F,912,Cancelled,Seafood,Mobile App,Ordered mistaken
7085042753,Bike,F,722,Cancelled,North Indian,Online Portal,Ordered mistaken
576241784,Walk,M,513,Cancelled,Seafood,Online Portal,Packaging not Proper
6908994619,Cycle,M,679,Cancelled,Seafood,Mobile App,Packaging not Proper
4829669357,Cycle,F,822,Cancelled,Susi,Mobile App,Ordered mistaken
3407408005,Walk,M,681,Cancelled,Continental,Mobile App,Ordered mistaken
7328109637,Cycle,F,162,Cancelled,South Indian,Mobile App,Damaged
2694614108,Cycle,F,488,Cancelled,Susi,Mobile App,Ordered mistaken
5339899039,Walk,F,639,Cancelled,Seafood,Online Portal,Ordered mistaken
8738819120,Cycle,M,365,Cancelled,Susi,Mobile App,Damaged
7894472158,Bike,F,692,Cancelled,Continental,Mobile App,Damaged
4357806747,Bike,M,345,Cancelled,Continental,Online Portal,Packaging not Proper
1259819213,Bike,F,188,Cancelled,North Indian,Mobile App,Packaging not Proper
4340019089,Bike,M,134,Cancelled,Susi,Mobile App,Damaged
1533364834,Cycle,F,960,Cancelled,South Indian,Mobile App,Damaged
3365212914,Walk,M,827,Cancelled,Continental,Online Portal,Ordered mistaken
2962011411,Walk,F,572,Cancelled,Continental,Online Portal,Damaged
9195307028,Cycle,F,456,Cancelled,South Indian,Mobile App,Ordered mistaken
1243405325,Walk,F,562,Cancelled,Seafood,Online Portal,Damaged
7589015636,Cycle,F,121,Cancelled,Susi,Mobile App,Damaged
1400032970,Cycle,M,822,Cancelled,North Indian,Mobile App,Ordered mistaken
711872198,Bike,M,715,Cancelled,South Indian,Mobile App,Ordered mistaken
2667096363,Cycle,F,160,Cancelled,Continental,Mobile App,Damaged
8776142795,Bike,M,141,Cancelled,Seafood,Mobile App,Ordered mistaken
8829472905,Bike,F,386,Cancelled,Susi,Online Portal,Packaging not Proper
9137395831,Bike,M,417,Cancelled,Seafood,Mobile App,Ordered mistaken
6193297022,Bike,M,890,Cancelled,Seafood,Online Portal,Damaged
5961269248,Walk,F,779,Cancelled,Seafood,Mobile App,Packaging not Proper
6392171959,Walk,F,434,Cancelled,Seafood,Mobile App,Packaging not Proper
6852279855,Bike,F,680,Cancelled,Seafood,Mobile App,Ordered mistaken
7793396960,Cycle,M,969,Cancelled,Seafood,Mobile App,Ordered mistaken
3940101699,Cycle,F,940,Cancelled,Susi,Online Portal,Damaged
3941852728,Cycle,M,547,Cancelled,Continental,Mobile App,Damaged
8900861530,Bike,M,522,Cancelled,Seafood,Mobile App,Damaged
